O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
6.21,7.98,5.43,9.54,6.65,5.06,4.19,1.20,5.50,5.01,Pediatric Doctor
7.22,8.99,6.44,6.34,7.66,5.76,4.90,1.30,6.31,4.88,Pediatric Doctor
6.01,7.78,5.23,9.34,6.45,6.90,7.29,5.84,6.23,8.56,Pediatric Nurse
6.21,7.98,5.43,9.54,6.65,7.10,7.49,6.04,6.43,8.76,Pediatric Nurse
6.01,7.78,5.23,9.34,6.45,4.92,4.05,1.18,5.34,4.87,Pediatric Nurse
6.21,7.98,5.43,9.54,6.65,5.06,4.19,1.20,5.50,5.01,Pediatric Nurse
7.02,8.79,6.24,9.23,7.46,5.62,4.76,1.28,6.15,5.36,Pediatric Nurse
7.22,8.99,6.44,7.34,7.66,5.76,4.90,1.30,6.31,5.08,Pediatric Nurse
6.01,8.45,5.23,9.34,6.45,7.23,7.29,5.84,6.23,8.90,Pediatrician
6.21,8.65,5.43,9.54,6.65,7.43,7.49,6.04,6.43,9.10,Pediatrician
6.01,8.45,5.23,9.34,6.45,5.18,4.05,1.45,5.54,4.87,Pediatrician
6.21,8.65,5.43,9.54,6.65,5.32,4.19,1.47,5.70,5.01,Pediatrician
7.02,9.46,6.24,8.23,7.46,5.89,4.76,1.55,6.35,5.16,Pediatrician
7.22,9.66,5.98,8.20,7.66,6.03,4.81,1.57,6.51,5.25,Pediatrician
7.12,9.45,4.23,6.78,4.56,8.29,5.51,4.40,5.84,8.12,Pharmacist
7.12,9.45,4.23,6.78,4.56,5.92,4.41,2.41,6.40,4.92,Pharmacist
8.13,6.80,5.24,7.79,5.57,5.16,5.11,1.05,6.11,5.62,Pharmacist
7.78,7.34,5.23,9.12,6.01,7.56,7.18,5.62,6.90,8.23,Physical Therapist
4.32,8.12,5.23,9.12,6.01,6.22,7.18,5.62,5.17,8.62,Physical Therapist
4.12,7.92,5.03,8.92,5.81,6.02,6.98,5.42,4.97,8.42,Physical Therapist
7.78,7.34,5.23,9.12,6.01,5.27,4.94,1.13,6.09,5.71,Physical Therapist
4.32,8.12,5.23,9.12,6.01,4.54,3.21,1.45,4.60,3.98,Physical Therapist
4.12,7.92,5.03,8.92,5.81,4.40,3.07,1.43,4.44,3.84,Physical Therapist
8.79,8.35,6.24,10.13,7.02,5.98,5.64,1.23,6.90,6.42,Physical Therapist
5.33,9.13,6.24,10.13,7.02,5.25,3.91,1.55,5.40,4.69,Physical Therapist
5.13,8.93,6.04,9.56,6.82,5.11,3.77,1.53,5.24,4.48,Physical Therapist
7.89,9.23,5.01,7.45,6.34,8.56,6.23,5.68,7.12,8.34,Physician
7.89,9.23,5.01,7.45,6.34,6.06,4.95,1.79,6.71,5.44,Physician
8.90,8.60,6.02,8.46,7.35,6.11,5.65,1.24,7.03,6.14,Physician
5.67,8.78,7.12,6.45,6.01,7.23,6.79,6.57,5.84,7.62,Police Detective
5.67,8.78,7.12,6.45,6.01,5.21,4.26,1.71,5.47,4.13,Police Detective
6.68,9.79,8.13,7.46,7.02,5.92,4.97,1.81,6.28,4.83,Police Detective
2.67,8.78,7.67,8.45,6.45,5.73,8.06,7.06,4.56,8.62,Police Officer
2.87,8.98,7.87,8.65,6.65,5.93,8.26,7.26,4.76,8.82,Police Officer
2.67,8.78,7.67,8.45,6.45,4.31,2.87,1.58,3.97,3.03,Police Officer
2.87,8.98,7.87,8.65,6.65,4.45,3.01,1.60,4.13,3.17,Police Officer
3.68,9.79,8.68,9.46,7.46,5.02,3.58,1.68,4.78,3.73,Police Officer
3.88,9.99,8.88,9.66,7.66,5.16,3.72,1.70,4.94,3.87,Police Officer
8.78,8.34,7.45,6.45,5.45,8.56,6.95,6.45,7.12,7.40,Product Manager
8.98,8.54,7.65,6.65,5.65,8.76,7.15,6.65,7.32,7.60,Product Manager
8.78,8.34,7.45,6.45,5.45,5.97,5.88,1.70,6.89,5.68,Product Manager
8.98,8.54,7.65,6.65,5.65,6.11,6.02,1.72,7.05,5.82,Product Manager
9.79,9.35,8.46,7.46,6.46,6.68,6.59,1.80,7.70,6.39,Product Manager
8.34,9.55,8.66,7.66,6.66,6.32,5.90,1.82,7.04,5.70,Product Manager
8.78,7.45,5.34,8.45,6.01,8.12,6.90,5.68,7.40,7.95,Psychologist
8.78,7.45,5.34,8.45,6.01,5.61,5.46,1.18,6.63,6.08,Psychologist
9.79,8.46,6.35,9.46,7.02,6.32,6.17,1.28,7.43,6.79,Psychologist
8.78,7.67,4.45,5.12,6.01,8.23,4.79,5.23,7.40,6.40,Public Health Analyst
8.98,7.87,4.65,5.32,6.21,8.43,4.99,5.43,7.60,6.60,Public Health Analyst
8.78,7.67,4.45,5.12,6.01,5.70,5.28,1.27,6.69,5.41,Public Health Analyst
8.98,7.87,4.65,5.32,6.21,5.84,5.42,1.29,6.85,5.55,Public Health Analyst
9.79,8.68,5.46,6.13,7.02,6.41,5.99,1.37,7.50,6.12,Public Health Analyst
9.34,8.88,5.66,6.33,7.22,6.35,5.80,1.39,7.33,5.94,Public Health Analyst
6.67,7.34,8.45,7.89,5.45,7.01,8.17,6.95,6.06,7.62,Public Relations Manager
6.67,7.34,8.45,7.89,5.45,4.94,5.03,1.30,5.54,4.91,Public Relations Manager
7.68,8.35,9.46,8.90,6.46,5.64,5.73,1.40,6.35,5.62,Public Relations Manager
6.67,7.34,8.67,7.89,5.45,7.01,8.28,7.06,6.06,7.62,Public Relations Specialist
6.87,7.54,8.87,8.09,5.65,7.21,8.48,7.26,6.26,7.82,Public Relations Specialist
6.67,7.34,8.67,7.89,5.45,4.94,5.07,1.30,5.54,4.91,Public Relations Specialist
6.87,7.54,8.87,8.09,5.65,5.08,5.21,1.32,5.70,5.05,Public Relations Specialist
7.68,8.35,9.68,8.90,6.46,5.64,5.78,1.40,6.35,5.62,Public Relations Specialist
7.88,8.55,9.88,9.10,6.66,5.78,5.92,1.42,6.51,5.76,Public Relations Specialist
6.01,8.45,3.78,4.01,4.67,7.23,3.90,4.23,5.34,6.23,Quality Control Inspector
6.21,8.65,3.98,4.21,4.87,7.43,4.10,4.43,5.54,6.43,Quality Control Inspector
6.01,8.45,3.78,4.01,4.67,5.18,3.76,1.98,5.54,3.81,Quality Control Inspector
6.21,8.65,3.98,4.21,4.87,5.32,3.90,2.00,5.70,3.95,Quality Control Inspector
7.02,9.46,4.79,5.02,5.68,5.89,4.47,2.08,6.35,4.51,Quality Control Inspector
7.22,9.66,4.99,5.22,5.88,6.03,4.61,2.10,6.51,4.65,Quality Control Inspector
5.23,7.67,4.67,8.56,8.12,6.45,6.62,6.40,6.68,8.12,Radiologic Technologist
5.43,7.87,4.87,8.76,8.32,6.65,6.82,6.60,6.88,8.32,Radiologic Technologist
5.23,7.67,4.67,8.56,8.12,4.64,3.55,0.63,4.92,4.33,Radiologic Technologist
5.43,7.87,4.87,8.76,8.32,4.78,3.69,0.65,5.08,4.47,Radiologic Technologist
6.24,8.68,5.68,9.57,9.13,5.34,4.26,0.73,5.72,5.03,Radiologic Technologist
6.44,8.88,5.88,9.77,5.60,5.48,4.40,1.87,5.88,5.17,Radiologic Technologist
6.12,7.01,8.67,7.89,5.34,6.57,8.28,7.01,5.73,7.45,Real Estate Agent
6.12,7.01,8.67,7.89,5.34,4.64,4.79,1.20,5.16,4.64,Real Estate Agent
7.13,8.02,9.68,8.90,6.35,5.35,5.50,1.30,5.97,5.35,Real Estate Agent
6.01,7.78,5.23,9.34,6.45,6.90,7.29,5.84,6.23,8.56,Rehabilitation Counselor
6.21,7.98,5.43,9.54,6.65,7.10,7.49,6.04,6.43,8.76,Rehabilitation Counselor
6.01,7.78,5.23,9.34,6.45,4.92,4.05,1.18,5.34,4.87,Rehabilitation Counselor
6.21,7.98,5.43,9.54,6.65,5.06,4.19,1.20,5.50,5.01,Rehabilitation Counselor
7.02,8.79,6.24,7.23,7.46,5.62,4.76,1.28,6.15,4.96,Rehabilitation Counselor
7.22,8.99,7.20,7.40,7.66,5.76,5.05,1.30,6.31,5.09,Rehabilitation Counselor
9.12,8.78,4.23,5.67,4.56,8.95,4.95,4.40,6.84,7.23,Research Scientist
9.12,8.78,4.23,5.67,4.56,6.25,5.41,2.14,7.19,5.69,Research Scientist
9.20,9.79,5.24,6.68,5.57,6.68,5.65,2.25,7.54,5.94,Research Scientist
7.34,7.67,4.23,5.23,4.67,7.51,4.73,4.45,6.01,6.45,Robotics Engineer
7.54,7.87,4.43,5.43,4.87,7.71,4.93,4.65,6.21,6.65,Robotics Engineer
7.34,7.67,4.23,5.23,4.67,5.27,4.52,1.67,5.97,4.72,Robotics Engineer
7.54,7.87,4.43,5.43,4.87,5.41,4.66,1.69,6.13,4.86,Robotics Engineer
8.35,8.68,5.24,6.24,5.68,5.98,5.22,1.77,6.78,5.42,Robotics Engineer
8.55,8.88,5.44,6.44,5.88,6.12,5.36,1.79,6.94,5.56,Robotics Engineer
6.12,6.78,9.34,7.56,5.01,6.45,8.45,7.18,5.57,7.17,Salesperson
6.12,6.78,9.34,7.56,5.01,4.55,4.93,1.21,5.09,4.57,Salesperson
7.13,7.79,7.20,8.57,6.02,5.26,5.01,1.31,5.90,5.28,Salesperson
6.67,7.34,8.45,7.89,5.45,7.01,8.17,6.95,6.06,7.62,Social Media Manager
6.47,7.14,8.25,7.69,5.25,6.81,7.97,6.75,5.86,7.42,Social Media Manager
6.67,7.34,8.45,7.89,5.45,4.94,5.03,1.30,5.54,4.91,Social Media Manager
6.47,7.14,8.25,7.69,5.25,4.80,4.89,1.28,5.38,4.77,Social Media Manager
7.68,8.35,9.46,8.90,6.46,5.64,5.73,1.40,6.35,5.62,Social Media Manager
7.48,8.15,9.26,8.70,6.26,5.50,5.59,1.38,6.19,5.48,Social Media Manager
7.56,7.01,4.67,9.23,6.34,7.29,6.95,5.51,6.95,8.12,Social Worker
7.56,7.01,4.67,9.23,6.34,5.07,4.71,0.90,5.88,5.63,Social Worker
8.57,8.02,5.68,7.10,7.35,5.78,5.42,1.00,6.69,5.71,Social Worker
8.78,7.89,5.67,6.01,4.67,8.34,5.84,5.17,6.73,6.95,Software Developer
8.78,7.89,5.67,6.01,4.67,5.79,5.52,1.76,6.76,5.59,Software Developer
9.79,8.90,6.68,7.02,5.68,6.50,6.23,1.86,7.57,6.30,Software Developer
6.78,8.45,5.12,6.01,4.56,7.62,5.57,4.84,5.67,7.23,Software Quality Assurance Tester
6.78,8.45,5.12,6.01,4.56,5.41,4.41,2.01,5.93,4.59,Software Quality Assurance Tester
7.79,9.46,6.13,7.02,5.57,6.12,5.12,2.11,6.73,5.30,Software Quality Assurance Tester
7.01,7.78,5.23,9.12,6.01,7.40,7.18,5.62,6.51,8.45,Special Need Education Teacher
4.32,8.12,5.23,9.12,6.01,6.22,7.18,5.62,5.17,8.62,Special Need Education Teacher
7.01,7.78,5.23,9.12,6.01,5.22,4.55,1.31,5.84,5.33,Special Need Education Teacher
4.32,8.12,5.23,9.12,6.01,4.54,3.21,1.45,4.60,3.98,Special Need Education Teacher
8.02,8.79,6.24,10.13,7.02,5.92,5.26,1.41,6.65,6.04,Special Need Education Teacher
5.33,9.13,6.24,10.13,7.02,5.25,3.91,1.55,5.40,4.69,Special Need Education Teacher
6.01,7.78,5.23,9.34,6.45,6.90,7.29,5.84,6.23,8.56,Speech Pathologist
6.21,7.98,5.43,9.54,6.65,7.10,7.49,6.04,6.43,8.76,Speech Pathologist
7.78,7.34,5.23,9.12,6.01,7.56,7.18,5.62,6.90,8.23,Speech Pathologist
6.01,7.78,5.23,9.34,6.45,4.92,4.05,1.18,5.34,4.87,Speech Pathologist
6.21,7.98,5.43,9.54,6.65,5.06,4.19,1.20,5.50,5.01,Speech Pathologist
7.78,7.34,5.23,9.12,6.01,5.27,4.94,1.13,6.09,5.71,Speech Pathologist
7.02,8.79,6.24,8.20,7.46,5.62,4.76,1.28,6.15,5.15,Speech Pathologist
7.22,8.99,6.34,7.98,7.66,5.76,4.88,1.30,6.31,5.21,Speech Pathologist
8.79,8.35,6.24,10.13,7.02,5.98,5.64,1.23,6.90,6.42,Speech Pathologist
7.78,7.34,5.23,9.12,6.01,7.56,7.18,5.62,6.90,8.23,Speech Therapist
7.58,7.14,5.03,8.92,5.81,7.36,6.98,5.42,6.70,8.03,Speech Therapist
7.78,7.34,5.23,9.12,6.01,5.27,4.94,1.13,6.09,5.71,Speech Therapist
7.58,7.14,5.03,8.92,5.81,5.13,4.80,1.11,5.93,5.57,Speech Therapist
8.79,8.35,6.24,10.13,7.02,5.98,5.64,1.23,6.90,6.42,Speech Therapist
8.59,8.15,6.04,8.20,6.82,5.84,5.50,1.21,6.74,5.94,Speech Therapist
6.78,7.67,8.45,8.23,6.45,7.23,8.34,7.45,6.62,7.95,Sports Coach
6.98,7.87,8.65,8.43,6.65,7.43,8.54,7.65,6.82,8.15,Sports Coach
6.78,7.67,8.45,8.23,6.45,5.10,5.08,1.13,5.69,5.04,Sports Coach
6.98,7.87,8.65,8.43,6.65,5.24,5.22,1.15,5.85,5.18,Sports Coach
7.79,8.68,9.46,9.24,7.46,5.81,5.79,1.23,6.50,5.74,Sports Coach
7.99,8.88,9.66,9.44,7.66,5.95,5.93,1.25,6.66,5.88,Sports Coach
8.12,8.67,4.67,5.23,4.11,8.40,4.95,4.39,6.12,6.95,Sustainability Consultant
8.12,8.67,4.67,5.23,4.11,5.90,4.99,2.24,6.66,5.11,Sustainability Consultant
9.13,9.68,5.68,6.24,5.12,6.61,5.70,2.34,7.47,5.81,Sustainability Consultant
7.67,9.23,4.23,7.34,6.45,8.45,5.79,5.34,7.06,8.29,Tax Accountant
7.87,9.43,4.43,7.54,6.65,8.65,5.99,5.54,7.26,8.49,Tax Accountant
7.67,9.23,4.23,7.34,6.45,5.99,4.68,1.76,6.60,5.30,Tax Accountant
7.87,9.43,4.43,7.54,6.65,6.13,4.82,1.78,6.76,5.44,Tax Accountant
8.68,7.60,5.24,8.35,7.46,5.64,5.39,0.80,6.62,6.01,Tax Accountant
8.88,7.65,5.44,8.55,7.66,5.72,5.53,0.76,6.74,6.15,Tax Accountant
6.78,8.45,3.45,6.45,5.45,7.62,4.95,4.45,6.12,7.45,Tax Collector
6.98,8.65,3.65,6.65,5.65,7.82,5.15,4.65,6.32,7.65,Tax Collector
6.67,8.93,3.45,5.60,2.43,7.80,4.53,2.94,4.55,7.27,Tax Collector
6.78,8.45,3.45,6.45,5.45,5.41,4.08,1.75,5.93,4.68,Tax Collector
6.98,8.65,3.65,6.65,5.65,5.55,4.22,1.77,6.09,4.82,Tax Collector
6.67,8.93,3.45,5.60,2.43,5.57,4.03,2.84,6.01,4.46,Tax Collector
7.79,9.46,4.46,7.46,6.46,6.12,4.79,1.85,6.73,5.39,Tax Collector
7.99,9.66,4.66,7.66,6.66,6.26,4.93,1.87,6.89,5.53,Tax Collector
7.68,9.65,4.46,6.61,3.44,6.16,4.73,2.83,6.74,5.16,Tax Collector
6.45,7.56,5.67,9.12,4.23,7.01,7.40,4.95,5.34,8.34,Teacher
6.45,7.56,5.67,9.12,4.23,4.96,4.36,1.76,5.49,5.05,Teacher
7.46,8.57,6.68,10.13,5.24,5.67,5.07,1.86,6.30,5.76,Teacher
6.98,8.65,7.54,5.65,6.21,7.82,6.60,6.88,6.60,7.15,Teachnical Project Manaher
6.98,8.65,7.54,5.65,6.21,5.55,5.00,1.60,6.09,4.62,Teachnical Project Manaher
7.99,9.66,8.55,6.66,7.22,6.26,5.71,1.70,6.89,5.33,Teachnical Project Manaher
7.67,8.78,5.45,7.45,6.01,8.23,6.45,5.73,6.84,8.12,Technical Writer
7.87,8.98,5.65,7.65,6.21,8.43,6.65,5.93,7.04,8.32,Technical Writer
7.67,8.78,5.45,7.45,6.01,5.81,4.93,1.71,6.47,5.33,Technical Writer
7.87,8.98,5.65,7.65,6.21,5.95,5.07,1.73,6.63,5.47,Technical Writer
8.68,9.79,6.46,8.46,7.02,6.52,5.63,1.81,7.28,6.03,Technical Writer
8.88,8.70,6.66,8.66,7.22,6.14,5.77,1.31,7.05,6.17,Technical Writer
7.34,6.98,3.67,5.23,4.67,7.16,4.45,4.17,6.01,6.11,Transportation Planner
7.34,6.98,3.67,5.23,4.67,4.99,4.40,1.39,5.76,4.72,Transportation Planner
8.35,7.99,4.68,6.24,5.68,5.70,5.11,1.49,6.57,5.42,Transportation Planner
9.23,8.23,5.67,4.23,6.45,8.73,4.95,6.06,7.84,6.23,UI/UX Designer
9.23,8.23,5.67,4.23,6.45,6.06,5.75,1.36,7.08,5.46,UI/UX Designer
8.34,9.24,6.68,5.24,7.46,6.20,5.51,1.46,6.94,5.22,UI/UX Designer
6.78,7.34,3.67,5.23,4.67,7.06,4.45,4.17,5.73,6.29,Urban Planner
7.34,6.98,3.67,5.23,4.67,7.16,4.45,4.17,6.01,6.11,Urban Planner
7.14,6.78,3.47,5.03,4.47,6.96,4.25,3.97,5.81,5.91,Urban Planner
6.78,7.34,3.67,5.23,4.67,4.97,4.12,1.54,5.59,4.44,Urban Planner
7.34,6.98,3.67,5.23,4.67,4.99,4.40,1.39,5.76,4.72,Urban Planner
7.14,6.78,3.47,5.03,4.47,4.85,4.26,1.37,5.60,4.58,Urban Planner
7.79,8.35,4.68,6.24,5.68,5.68,4.83,1.64,6.40,5.14,Urban Planner
8.35,7.99,4.68,6.24,5.68,5.70,5.11,1.49,6.57,5.42,Urban Planner
8.15,7.79,4.48,6.04,5.48,5.56,4.97,1.47,6.41,5.28,Urban Planner
8.78,4.23,7.67,7.45,6.45,6.51,7.56,7.06,7.62,5.84,Video Game Tester
8.98,4.43,7.87,7.65,6.65,6.71,7.76,7.26,7.82,6.04,Video Game Tester
8.78,4.23,7.67,7.45,6.45,4.33,5.92,0.24,5.66,5.88,Video Game Tester
8.98,4.43,7.87,7.65,6.65,4.47,6.06,0.22,5.82,6.02,Video Game Tester
9.79,5.24,8.68,8.46,7.46,5.03,6.63,0.14,6.47,6.59,Video Game Tester
9.40,5.44,8.88,8.66,7.66,5.00,6.48,0.12,6.33,6.43,Video Game Tester
8.67,7.78,5.67,4.23,6.45,8.23,4.95,6.06,7.56,6.01,Web Developer
9.23,8.23,5.67,4.23,6.45,8.73,4.95,6.06,7.84,6.23,Web Developer
9.03,8.03,5.47,4.03,6.25,8.53,4.75,5.86,7.64,6.03,Web Developer
8.67,7.78,5.67,4.23,6.45,5.71,5.47,1.18,6.67,5.18,Web Developer
9.23,8.23,5.67,4.23,6.45,6.06,5.75,1.36,7.08,5.46,Web Developer
9.03,8.03,5.47,4.03,6.25,5.92,5.61,1.34,6.92,5.32,Web Developer
9.68,8.79,6.68,5.24,7.46,6.42,6.18,1.28,7.48,5.89,Web Developer
9.45,9.24,6.68,5.24,7.46,6.53,6.06,1.46,7.50,5.77,Web Developer
9.67,9.04,6.48,5.04,7.26,6.52,6.13,1.44,7.55,5.84,Web Developer
8.78,7.67,4.45,5.12,6.01,8.23,4.79,5.23,7.40,6.40,Wildlife Biologist
8.91,7.67,4.45,7.23,5.78,8.29,5.84,5.12,7.35,7.45,Wildlife Biologist
8.71,7.47,4.25,7.03,5.58,8.09,5.64,4.92,7.15,7.25,Wildlife Biologist
8.78,7.67,4.45,5.12,6.01,5.70,5.28,1.27,6.69,5.41,Wildlife Biologist
8.91,7.67,4.45,7.23,5.78,5.74,5.35,1.33,6.76,5.90,Wildlife Biologist
8.71,7.47,4.25,7.03,5.58,5.60,5.21,1.31,6.60,5.76,Wildlife Biologist
9.79,8.68,5.46,6.13,7.02,6.41,5.99,1.37,7.50,6.12,Wildlife Biologist
8.45,8.68,5.46,8.24,6.79,6.01,5.32,1.44,6.83,5.87,Wildlife Biologist
9.72,8.48,5.26,8.04,6.59,6.31,5.91,1.42,7.40,6.47,Wildlife Biologist
8.89,7.67,4.45,5.12,6.01,8.28,4.79,5.23,7.45,6.40,Wildlife Conservationist
9.09,7.87,4.65,5.32,6.21,8.48,4.99,5.43,7.65,6.60,Wildlife Conservationist
8.89,7.67,4.45,5.12,6.01,5.74,5.34,1.27,6.75,5.47,Wildlife Conservationist
9.09,7.87,4.65,5.32,6.21,5.88,5.48,1.29,6.91,5.61,Wildlife Conservationist
8.23,8.68,5.46,6.13,7.02,5.94,5.21,1.37,6.72,5.34,Wildlife Conservationist
9.12,8.88,5.66,6.33,7.22,6.29,5.69,1.39,7.22,5.83,Wildlife Conservationist
8.78,7.67,4.45,5.12,6.01,8.23,4.79,5.23,7.40,6.40,Zoologist
8.58,7.47,4.25,4.92,5.81,8.03,4.59,5.03,7.20,6.20,Zoologist
8.78,7.67,4.45,5.12,6.01,5.70,5.28,1.27,6.69,5.41,Zoologist
8.58,7.47,4.25,4.92,5.81,5.56,5.14,1.25,6.53,5.27,Zoologist
9.79,8.68,5.46,6.13,7.02,6.41,5.99,1.37,7.50,6.12,Zoologist
9.59,8.48,5.26,5.93,6.82,6.27,5.85,1.35,7.34,5.98,Zoologist
